번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
6408,살롱드4월,미용,수정구,위례동,지류,031-722-4544,경기도 성남시 수정구 위례광장로 104 (창곡동),2021-01-16
6409,살롱드515,미용,수정구,복정동,모두,031-754-0515,경기도 성남시 수정구 복정로72번길 8 103호 1층 살롱드515 (미용실),2021-01-16
6410,살롱드네일(salon de nail)정자점,미용,분당구,정자3동,모바일,031-718-9992,"성남시 분당구 불곡남로 13, 1층 일부(정자동)",2021-01-16
6411,살롱드댕기,미용,분당구,서현1동,모두,031-702-8876,"성남시 분당구 중앙공원로40번길 4, 106, 107호 (현대카스올림픽골드파크)",2021-01-16
6412,살롱드댕기2,미용,분당구,서현1동,지류,031-703-1575,"성남시 분당구 중앙공원로31번길 42, 2층 212호(서현동, 서현파크플라자)",2021-01-16
6413,살롱드라디체,미용,분당구,금곡동,지류,031-781-5082,경기도 성남시 분당구 돌마로 73 우방코아 4층 401호 살롱드라디체,2021-01-16
6414,살롱드리프,미용,분당구,정자동,지류,031-718-0801,경기도 성남시 분당구 정자일로 135 푸르지오시티 3차 D동 123호,2021-01-16
6415,살롱드리프 정자점,미용,분당구,정자동,지류,031-718-6060,경기도 성남시 분당구 정자일로 135 푸르지오시티 3차 D동 201호,2021-01-16
6416,살롱드반,미용,분당구,야탑1동,모두,031-781-2220,"성남시 분당구 성남대로926번길 6, 2층 204호 (대덕프라자)",2021-01-16
6417,살롱드보떼,기타(도소매),분당구,운중동,모두,031-702-3339,경기도 성남시 분당구 운중로 118 스타타워 6층 살롱드보떼,2021-01-16
6418,살롱드브이,미용,분당구,수내2동,지류,031-726-3330,경기도 성남시 분당구 내정로 170 동신파크빌딩 202호 살롱드브이,2021-01-16
6419,살롱드수,미용,분당구,금곡동,모두,031-711-7170,"성남시 분당구 정자일로 55, 108-108호(금곡동)",2021-01-16
6420,살롱드아바나(Salon de Habana),미용,분당구,야탑3동,모두,031-708-7274,"성남시 분당구 야탑로139번길 22, 1층",2021-01-16
6421,살롱드크레쎄,기타(도소매),분당구,수내1동,모두,031-726-7712,경기도 성남시 분당구 백현로101번길 16 대덕프라자 3층 살롱드크레쎄,2021-01-16
6422,살롱드키오,미용,중원구,성남동,모두,031-757-8910,경기도 성남시 중원구 제일로35번길 28-1 1층 살롱드키오,2021-01-16
6423,살롱드키오,미용,중원구,성남동,지류,031-757-8910,성남시 중원구 제일로35번길 28-1 1층,2021-01-16
6424,살롱드포레,미용,분당구,야탑1동,모두,031-622-1020,"성남시 분당구 야탑로81번길 10, 2층 210호(야탑동,아미고타워)",2021-01-16
6425,살롱레녹스,미용,중원구,도촌동,모두,031-712-9449,"성남시 중원구 도촌남로 33, 205호 (도촌동,세일프라자)",2021-01-16
6426,살롱에이비,미용,분당구,백현동,지류,031-705-8990,경기도 성남시 분당구 동판교로52번길 9 1층 살롱에이비,2021-01-16
6427,살롱엔,미용,수정구,고등동,모두,031-753-0081,경기도 성남시 수정구 청계산로1길 17,2021-01-16
6428,살롱이안(SALON IAN),미용,중원구,도촌동,모두,031-721-6611,성남시 중원구 여수울로15번길4-6  2층,2021-01-16
6429,살롱지음,미용,분당구,정자1동,모두,031-711-1011,경기도 성남시 분당구 정자일로 146 101동 215호~218호,2021-01-16
6430,살롱헤렌,미용,분당구,분당동,모두,031-605-8189,"성남시 분당구 장안로14번길 29, 1층(분당동)",2021-01-16
6431,살롱헤움,미용,분당구,서현1동,모두,031-702-9445,"성남시 분당구 황새울로360번길 21, 401호(서현동, 분당서현신영팰리스타워)",2021-01-16
6432,살롱헤움 분당본점,미용,분당구,서현1동,모두,031-702-9445,경기도 성남시 분당구 황새울로360번길 21 4층 살롱헤움,2021-01-16
6433,살롱J,미용,중원구,중앙동,모두,031-747-6979,경기도 성남시 중원구 광명로256번길 4 1층 살롱제이,2021-01-16
6434,살림살이,기타(도소매),수정구,산성동,모두,031-000-0000,"성남시 수정구 산성대로 지하 223-4, D동 가열 15호 (중앙지하상가)",2021-01-16
6435,살림하는 총각,음식점,분당구,삼평동,지류,031-628-8088,"성남시 분당구 판교로255번길 9-22, 지하1층 109호(삼평동, 우림W-씨티)",2021-01-16
6436,삼거리분식,음식점,수정구,위례동,모두,031-000-0000,"경기도 성남시 수정구 위례동로 105, 1층(창곡동)",2021-01-16
6437,삼거리불포차,음식점,수정구,신흥3동,모두,031-000-0000,"성남시 수정구 산성대로269번길 10, 지하1,2층일부(신흥동)",2021-01-16
6438,삼거리주막,음식점,중원구,금광2동,모두,031-731-8638,성남시 중원구 광명로 309번길3 (금광동),2021-01-16
6439,삼겹 89,음식점,수정구,태평3동,모두,031-000-0000,성남시 수정구 남문로 48,2021-01-16
6440,삼구공,카페,중원구,금광1동,모두,,경기도 성남시 중원구 광명로 390 1층 (금광동),2021-01-16
6441,삼김,음식점,분당구,금곡동,지류,031-713-2870,경기도 성남시 분당구 성남대로 165 2층236호,2021-01-16
6442,삼김,음식점,분당구,야탑1동,모두,031-705-9285,"성남시 분당구 장미로48번길 14, 121,122호(야탑동, 엔즈빌오피스텔)",2021-01-16
6443,삼김농원,음식점,분당구,서현1동,지류,031-709-3090,"성남시 분당구 새마을로1번길 10, 1층 2층(서현동)",2021-01-16
6444,삼김화로구이,음식점,분당구,정자1동,모두,031-711-8592,"성남시 분당구 느티로 16, 207호(정자동)",2021-01-16
6445,삼다도,음식점,수정구,신흥1동,모두,031-756-8829,"성남시 수정구 수정로188번길 4, 1층(신흥동)",2021-01-16
6446,삼다옥1947,음식점,분당구,정자1동,지류,031-711-1947,"성남시 분당구 정자일로 162, 1층(정자동, 젤존타워2)",2021-01-16
6447,삼다옥1947,음식점,분당구,수내1동,지류,031-717-3123,경기도 성남시 분당구 황새울로258번길 28 한도회관1층 삼다옥1947,2021-01-16
6448,삼대 떡볶이 성남점,음식점,중원구,금광2동,모두,031-629-8200,"성남시 중원구 산성대로408번길 3, 일부 1층(금광동)",2021-01-16
6449,삼대곱창,음식점,분당구,삼평동,모두,031-724-2777,"성남시 분당구 대왕판교로 660, 유스페이스1, A동 202호",2021-01-16
6450,삼대떡볶이 야탑점,음식점,분당구,야탑3동,모두,031-781-0124,경기도 성남시 분당구 판교로572번길 12 101호 삼대떡볶이,2021-01-16
6451,삼둥이네 푸줏간,정육점,분당구,삼평동,모두,031-707-8090,"성남시 분당구 판교로 375, 103호",2021-01-16
6452,삼미세탁소,세탁소,수정구,태평2동,모두,031-752-2933,성남시 수정구 시민로241번길 21,2021-01-16
6453,삼미솥뚜껑삼겹살,음식점,수정구,신흥1동,모두,031-723-7651,"경기도 성남시 수정구 시민로175번길 45-1, 1층(신흥동)",2021-01-16
6454,삼미왕뚜껑,음식점,중원구,금광1동,모두,031-731-9449,성남시 중원구 산성대로 340-7,2021-01-16
6455,삼미왕뚜껑,음식점,분당구,야탑1동,지류,031-709-9290,경기도 성남시 분당구 야탑로105번길 12-8 (야탑동),2021-01-16
6456,삼보건강원,기타(도소매),수정구,수진2동,모두,031-000-0000,성남시 수정구 수정남로16번길 3(수진동),2021-01-16
6457,삼보당온누리약국,약국,분당구,분당동,모두,031-701-4927,경기도 성남시 분당구 장안로25번길 28 건영상가 101호 삼보당온누리약국,2021-01-16
6458,삼보약국,약국,중원구,은행2동,지류,031-748-5750,"성남시 중원구 산성대로 522(은행동, 1층)",2021-01-16
6459,삼봉국수,음식점,분당구,수내1동,모두,031-715-0667,"성남시 분당구 내정로173번길 11, 지하1층 비03-14호(수내동)",2021-01-16
6460,삼부201,카페,분당구,분당동,모바일,031-000-0000,"성남시 분당구 수내로 201, 1층 105호(분당동,샛별마을삼부아파트)",2021-01-16
6461,삼부미용타운,미용,분당구,분당동,모두,031-701-6266,"성남시 분당구 수내로 206, D-103호",2021-01-16
6462,삼부세탁소,세탁소,분당구,분당동,모두,031-702-4252,"경기도 성남시 분당구 수내로 201, 1층 9호(분당동, 샛별마을)",2021-01-16
6463,삼부세탁소,세탁소,수정구,수진2동,모두,031-000-0000,"경기도 성남시 수정구 모란로 65, 1층 104호(수진동, 삼부아파트)",2021-01-16
6464,삼부식당,음식점,수정구,태평1동,모두,031-756-9948,"성남시 수정구 수정로 41-1, 1층(태평동)",2021-01-16
6465,삼부음악학원,학원,수정구,수진2동,모바일,031-758-8475,"성남시 수정구 모란로 65, 삼부아파트상가 301(수진동)",2021-01-16
6466,삼부자곱창,음식점,수정구,위례동,모바일,031-755-3332,"성남시 수정구 위례광장로 21-12, 112,113호(창곡동, 위례드림시티)",2021-01-16
6467,삼부자텔레콤,기타(도소매),수정구,태평2동,지류,031-756-8181,성남시 수정구 수정로 161-1 삼진빌딩,2021-01-16
6468,삼사텔레콤,기타(도소매),수정구,신흥3동,지류,031-733-7272,경기도 성남시 수정구 시민로 176 1층 삼사텔레콤,2021-01-16
6469,삼삼오오회,음식점,분당구,수내1동,지류,031-000-0000,"성남시 분당구 수내로46번길 11, 110호(수내동, 대덕글로리)",2021-01-16
6470,삼성공구,기타(도소매),중원구,하대원동,지류,031-722-0989,성남시 중원구 둔촌대로 293,2021-01-16
6471,삼성공구,기타(도소매),중원구,하대원동,지류,031-722-0989,성남시 중원구 둔촌대로 293,2021-01-16
6472,삼성기계,기타(도소매),중원구,상대원1동,모두,031-731-9311,성남시 중원구 둔촌대로 421-1(상대원동),2021-01-16
6473,삼성드림치과,병원,중원구,상대원2동,지류,031-747-0028,경기도 성남시 중원구 둔촌대로 388 크란츠테크노 201호 삼성드림치과,2021-01-16
6474,삼성방앗간,떡,분당구,이매1동,모두,031-707-1090,"성남시 분당구 양현로 220, 이매촌상가 A-104(이매동)",2021-01-16
6475,삼성분식,음식점,분당구,이매1동,모두,031-703-2255,성남시 분당구 양현로 220(이매동),2021-01-16
6476,삼성영어 분당정자학원,학원,분당구,정자동,지류,031-711-0621,경기도 성남시 분당구 불정로 168 203호,2021-01-16
6477,삼성영어공감학원,학원,분당구,이매1동,모두,031-707-0512,경기도 성남시 분당구 양현로94번길 7 3층 301호,2021-01-16
6478,삼성영어교습소,학원,중원구,도촌동,모두,031-606-0909,"성남시 중원구 도촌북로 78, 재가상가동 1층 101-1호(도촌동)",2021-01-16
6479,삼성영어단대교실학원,학원,수정구,단대동,지류,031-746-0509,경기도 성남시 수정구 산성대로437번길 3 2층,2021-01-16
6480,삼성영어라온수학학원,학원,중원구,도촌동,지류,031-755-8959,경기도 성남시 중원구 도촌남로 27 동강프라자 5층 501호,2021-01-16
6481,삼성영어멘토수학학원,학원,수정구,수진2동,모두,031-755-3405,"성남시 수정구 제일로 121, 401호(수진동)",2021-01-16
6482,삼성영어분당구미캠퍼스학원,학원,분당구,구미동,모두,031-713-0507,경기도 성남시 분당구 구미로 60 5층 삼성영어,2021-01-16
6483,삼성영어와 지니영어교습소,학원,분당구,삼평동,모바일,031-000-0000,"성남시 분당구 판교로 373, 제상가동 1층 제에프 101호(삼평동,봇들마을2단지이지더원아파트)",2021-01-16
6484,삼성영어위례중앙학원,학원,수정구,위례동,모두,031-755-7322,"성남시 수정구 위례광장로 320, 6층 607호(창곡동,아이에스센트럴타워)",2021-01-16
6485,삼성영어제일학원,학원,중원구,금광1동,모두,031-743-1110,경기도 성남시 중원구 시민로66번길 21 힐스테이트1차 상가 101호,2021-01-16
6486,삼성영어중부학원,학원,중원구,금광2동,모바일,031-747-2727,"성남시 중원구 자혜로 42-1, 4층(금광동)",2021-01-16
6487,삼성영어창의수학학원,학원,수정구,위례동,모두,031-723-7170,"성남시 수정구 위례광장로 41, 504호(창곡동, 지엠 프라자)",2021-01-16
6488,삼성영어태평점보습학원,학원,수정구,태평3동,모바일,031-758-3407,"성남시 수정구 탄리로95번길 11, 2층(태평동)",2021-01-16
6489,삼성영어학원,학원,중원구,은행2동,지류,031-733-3407,성남시 중원구 산성대로 582번길 10,2021-01-16
6490,삼성의료기,기타(도소매),분당구,구미동,지류,031-728-2811,경기도 성남시 분당구 돌마로 80 (구미동),2021-01-16
6491,삼성의료기,기타(도소매),분당구,구미동,모두,031-728-2811,성남시 분당구 돌마로 80  1층   71호 현대밴츠빌오피스텔,2021-01-16
6492,삼성정육점,기타(도소매),분당구,이매1동,지류,031-706-1848,"성남시 분당구 양현로 220, 상가에이동 101호(이매동, 이매촌삼성아파트)",2021-01-16
6493,삼성트라팰리스세탁.,세탁소,분당구,수내1동,모두,031-714-7357,성남시 분당구 수내동 10-1 분당트라팰리스 111호,2021-01-16
6494,삼성한의원,한의원,중원구,금광2동,모두,031-731-8275,"성남시 중원구 산성대로372번길 9, 2층(금광동, 원광빌딩)",2021-01-16
6495,삼순이빈대떡홍어삼합,음식점,수정구,수진2동,지류,031-758-4763,경기도 성남시 수정구 성남대로1226번길 2 (수진동),2021-01-16
6496,삼애반점,음식점,수정구,단대동,지류,031-748-2373,성남시 수정구 논골로53번길 8-8,2021-01-16
6497,삼양수산유통,기타(도소매),중원구,성남동,지류,031-757-3136,"성남시 중원구 성남대로 1147번길3,101호,158호(성남동,오라타워상가)",2021-01-16
6498,삼양해장국,음식점,수정구,태평3동,모두,031-000-0000,"경기도 성남시 수정구 수정로 109 가-11 (181, 182호)",2021-01-16
6499,삼양해장국,음식점,수정구,태평3동,모두,031-753-3439,"경기도 성남시 수정구 수정로 109 중앙공설시장 (가-11)181, 182호",2021-01-16
6500,삼영 액세서리,기타(도소매),중원구,금광1동,모두,031-742-3973,"성남시 중원구 광명로 289, 1층",2021-01-16
6501,삼영상사,기타(도소매),중원구,금광1동,모두,031-721-0665,성남시 중원구 산성대로 354-1,2021-01-16
6502,삼영악세사리,기타(도소매),중원구,금광1동,지류,031-742-3973,성남시 중원구 산성대로372번길 10,2021-01-16
6503,삼익슈퍼,기타(도소매),중원구,금광2동,모두,031-000-0000,성남시 중원구 자혜로16번길 10-1(금광동),2021-01-16
6504,삼익포목,기타(도소매),중원구,성남동,모두,031-751-3065,성남시 중원구 시민로 121-2 (성남동),2021-01-16
6505,삼인자동차공업사,카센타,분당구,이매1동,모두,031-706-0708,성남시 분당구 방아로 7,2021-01-16
6506,삼일사,기타(도소매),중원구,상대원3동,모두,031-746-1304,성남시 중원구 희망로344번길 3,2021-01-16
6507,삼일유리,기타(도소매),중원구,성남동,모두,031-751-8081,경기도 성남시 중원구 광명로 158(성남동),2021-01-16
6508,삼정시네마약국(the SGP),약국,수정구,신흥3동,모바일,031-732-7755,"성남시 수정구 산성대로 267, 1층 111호(신흥동)",2021-01-16
6509,삼정약국,약국,분당구,수내1동,모바일,031-719-4589,"성남시 분당구 내정로 167, 1층 101호(수내동,양지프라임)",2021-01-16
6510,삼진볼링타운,문화·스포츠,중원구,금광1동,지류,031-735-5553,"경기도 성남시 중원구 희망로 404 2,3,4층",2021-01-16
6511,삼천리냉면,음식점,수정구,수진1동,모두,031-751-1455,성남시 수정구 수정남로 63,2021-01-16
6512,삼천리자전거,기타(도소매),중원구,금광2동,지류,031-733-6181,성남시 중원구 산성대로 422-1,2021-01-16
6513,삼천리자전거,기타(도소매),수정구,수진2동,모두,031-751-3355,"경기도 성남시 수정구 성남대로 1225, 1층(수진동)",2021-01-16
6514,삼천리자전거,기타(도소매),분당구,이매1동,지류,031-703-0366,"성남시 분당구 양현로 126,   1층 106호  미림프라자",2021-01-16
6515,삼천리자전거,기타(도소매),분당구,이매2동,지류,031-702-3393,"성남시 분당구 판교로 444, 아름마을 106-704 2/6(이매동)",2021-01-16
6516,삼천리자전거 서현,기타(도소매),분당구,서현2동,모두,031-000-0000,성남시 분당구 불정로386번길 10,2021-01-16
6517,삼천리자전거(미금점),기타(도소매),분당구,금곡동,모두,031-711-3336,"성남시 분당구 미금로 215, 101호(금곡동,대원상가)",2021-01-16
6518,삼천리자전거(오리점),기타(도소매),분당구,구미동,모두,031-718-3332,성남시 분당구 구미로 16,2021-01-16
6519,삼촌네2별관,음식점,분당구,서현1동,모두,031-704-0045,경기도 성남시 분당구 황새울로360번길 12 220호,2021-01-16
6520,삼촌네정육점,기타(도소매),수정구,양지동,모두,031-000-0000,경기도 성남시 수정구 논골로24번길7-1  1층(양지동),2021-01-16
6521,삼촌네정육점 은행점,정육점,중원구,은행2동,모두,031-000-0000,"경기도 성남시 중원구 산성대로582번길 14, 1층(은행동)",2021-01-16
6522,삼촌네정육점양지점,정육점,수정구,양지동,지류,031-742-5758,경기도 성남시 수정구 논골로 24 삼촌네정육점양지점,2021-01-16
6523,삼촌네정육점은행점,정육점,중원구,은행2동,지류,031-741-5758,경기도 성남시 중원구 산성대로582번길 14 삼촌네정육점은행점,2021-01-16
6524,삼촌손으로만든스시,음식점,분당구,구미1동,지류,031-712-7111,"성남시 분당구 성남대로 151, 114-1호(구미동, 분당엠코헤리츠)",2021-01-16
6525,삼평가온누리태권도장,문화·스포츠,분당구,삼평동,지류,031-701-3161,경기도 성남시 분당구 판교로 372 602호 603호,2021-01-16
6526,삼평마트,슈퍼마켓,분당구,판교동,지류,031-707-4028,"성남시 분당구 판교로 182-7, 1층(판교동)",2021-01-16
6527,삼평푸줏간,기타(도소매),분당구,삼평동,모두,031-702-8284,"경기도 성남시 분당구 판교로 374 105호 (삼평동, 스타식스코아2)",2021-01-16
6528,삼형제쿠키,음식점,수정구,복정동,지류,031-000-0000,경기도 성남시 수정구 성남대로1480번길 16 (복정동),2021-01-16
6529,삼호손칼국수,음식점,수정구,위례동,지류,031-000-0000,"경기도 성남시 수정구 위례광장로 19, 3층 303호(창곡동)",2021-01-16
6530,삼화식당,음식점,수정구,위례동,지류,031-754-2043,성남시 수정구 위례서일로 1길 4 1층,2021-01-16
6531,삼화페인트,기타(도소매),중원구,상대원3동,지류,031-742-3220,경기도 성남시 중원구 금상로68번길 3 삼화페인트,2021-01-16
6532,삼환약국,기타(도소매),분당구,삼평동,모두,031-698-3511,"성남시 분당구 판교역로 230, B동 B115-1 (삼환하이펙스)",2021-01-16
6533,삽다리곱창,음식점,중원구,성남동,지류,031-756-1171,성남시 중원구 성남대로1148번길 5,2021-01-16
6534,삿포로참치,음식점,중원구,성남동,모두,031-755-6663,"성남시 중원구 광명로 36, 1층",2021-01-16
6535,상대왕정육점,정육점,중원구,상대원2동,지류,031-741-8989,"성남시 중원구 희망로375번길 4, 1층",2021-01-16
6536,상대원 농수산물,슈퍼마켓,수정구,수진1동,지류,031-748-5637,성남시 수정구 수정로120번길 14,2021-01-16
6537,상대원 용인대 경찰 태권도장,학원,중원구,상대원1동,모두,031-733-4631,"성남시 중원구 순환로 192, 3층(상대원동)",2021-01-16
6538,상대원농수산물,기타(도소매),중원구,상대원2동,지류,031-748-5637,경기도 성남시 중원구 희망로353번길 8 1층,2021-01-16
6539,상대원농수산물할인공판장,슈퍼마켓,중원구,상대원2동,지류,031-748-5637,경기도 성남시 중원구 희망로353번길 10,2021-01-16
6540,상대원소문난분식,음식점,중원구,상대원1동,모두,031-732-9285,경기도 성남시 중원구 박석로 71번길 1 (상대원동),2021-01-16
6541,상대원수산,기타(도소매),중원구,상대원3동,모두,031-742-3915,성남시 중원구 금상로 54,2021-01-16
6542,상대원용인대체육관,학원,중원구,상대원2동,모두,031-747-8829,"성남시 중원구 희망로 341, 4층(상대원동)",2021-01-16
6543,상대원진미즉석떡볶이,음식점,중원구,상대원1동,지류,031-602-8865,"성남시 중원구 둔촌대로 429, 1층(상대원동)",2021-01-16
6544,상록동물병원,동물병원,분당구,정자동,모두,031-716-8275,"성남시 분당구 정자로78, 102(정자동,영동프라자)",2021-01-16
6545,상록수문방구,기타(도소매),중원구,금광2동,모두,031-731-6531,"성남시 중원구 금빛로93번길 24, 1층(금광동)",2021-01-16
6546,상록우성해법수학교습소,학원,분당구,정자동,모바일,031-711-7666,"성남시 분당구 내정로 55, 상록우정상사 2층 212.213호(정자동)",2021-01-16
6547,상상공작소,사진관,수정구,신흥3동,모두,070-7565-7939,"성남시 수정구 수정로214번길 6, 204호(신흥동)",2021-01-16
6548,상상나무미술교습소,학원,분당구,구미동,지류,031-716-0846,경기도 성남시 분당구 구미로75번길 11 3층 상상나무미술,2021-01-16
6549,상상미술관 미술교습소,학원,분당구,정자1동,모두,,경기도 성남시 분당구 정자일로 80 상가303호,2021-01-16
6550,상상베이비 스튜디오,사진관,분당구,분당동,모두,031-704-1002,"성남시 분당구 장안로 31(분당동,진원빌딩 3층)",2021-01-16
6551,상상앤놀이터,학원,분당구,야탑1동,모바일,031-703-3303,"성남시 분당구 장미로 101(야탑동,장미마을분산상가3103-1호)",2021-01-16
6552,상설할인매장,기타(도소매),중원구,은행2동,지류,031-742-4383,성남시 중원구 은이로 8,2021-01-16
6553,상아 헤어,미용,분당구,판교동,모두,031-707-7546,"경기도 성남시 분당구 운중로233번길 15, 1층(판교동)",2021-01-16
6554,상아보습학원,학원,분당구,이매1동,모바일,031-706-2464,경기도 성남시 분당구 양현로94번길 9 2층 상아학원,2021-01-16
6555,상원꽃농원,기타(도소매),분당구,백현동,지류,031-707-8244,성남시 분당구 대왕판교로 417,2021-01-16
6556,상원생고기숯불갈비,음식점,중원구,상대원1동,모두,031-748-7505,성남시 중원구 박석로 66-4,2021-01-16
6557,상원전자,기타(도소매),수정구,태평2동,지류,031-753-0494,성남시 수정구 남문로 106-1,2021-01-16
6558,상원할인마트,슈퍼마켓,중원구,상대원2동,모두,031-732-6680,성남시 중원구 희망로 375(상대원동),2021-01-16
6559,상일슈퍼,슈퍼마켓,중원구,금광1동,지류,031-731-7771,경기도 성남시 중원구 광명로262번길 32 (중앙동),2021-01-16
6560,상탑열쇠,기타(도소매),분당구,야탑3동,모두,031-704-4130,성남시 분당구 판교로 700 (야탑동 151) 도로상,2021-01-16
6561,상하운수(자),택시,수정구,신흥2동,모두,031-734-2264,성남시 수정구 희망로509번길 3-6,2021-01-16
6562,상하이,음식점,수정구,위례동,모두,031-759-6699,"성남시 수정구 위례동로 135-6, 이너매스위례 201호",2021-01-16
6563,상해루,음식점,중원구,상대원2동,모두,031-000-0000,경기도 성남시 중원구 금상로 13(상대원동),2021-01-16
6564,새강약국,약국,수정구,산성동,모두,031-747-4655,성남시 수정구 수정남로324번길 2,2021-01-16
6565,새금광약국,기타(도소매),중원구,금광2동,지류,031-744-1051,경기도 성남시 중원구 산성대로434번길 9 (금광동),2021-01-16
6566,새날아동상담교육센터,학원,중원구,도촌동,지류,031-758-9808,경기도 성남시 중원구 도촌남로 37 (도촌동),2021-01-16
6567,새로나슈퍼문구,문구,중원구,금광1동,지류,031-741-3587,성남시 중원구 희망로400번길 56,2021-01-16
6568,새로나신발,기타(도소매),수정구,태평3동,모두,031-735-4470,성남시 수정구 수정북로 18,2021-01-16
6569,새로운약국,약국,중원구,성남동,모두,031-751-0028,"성남시 중원구 성남대로 1141, 1층",2021-01-16
6570,새론,기타(도소매),수정구,복정동,모두,031-751-8774,경기도 성남시 수정구 복정로 9 경호빌딩 4층(복정동),2021-01-16
6571,새롬마트,슈퍼마켓,수정구,위례동,지류,031-751-8287,"성남시 수정구 위례광장로 311, 1층 103~105호(창곡동,성남위례35단지상가)",2021-01-16
6572,새롬음악학원,학원,분당구,분당동,모두,031-702-2991,"성남시 분당구 분당로 212, (샛별마을 동성아파트 상가)",2021-01-16
6573,새롬헤어,미용,수정구,산성동,지류,031-731-0366,경기도 성남시 수정구 수정로356번길 8-2 (산성동),2021-01-16
6574,새마을식당,음식점,중원구,성남동,모두,031-754-6649,경기도 성남시 중원구 성남대로1140번길 10,2021-01-16
6575,새마을식당 미금역점,음식점,분당구,금곡동,지류,031-712-6649,경기도 성남시 분당구 성남대로172번길 12 1층 126 127호,2021-01-16
6576,새마을식당 성남신흥역점,음식점,수정구,신흥3동,모두,031-745-7753,"성남시 수정구 산성대로255번길 9 (신흥동,1층)",2021-01-16
6577,새마을식당 정자점,음식점,분당구,정자1동,지류,031-715-2767,"성남시 분당구 느티로 16,  젤존타워  205호",2021-01-16
6578,새만물정육점,정육점,중원구,은행2동,모바일,031-732-5992,성남시 중원구 산성대로518번길 10(은행동),2021-01-16
6579,새무지개약국,약국,중원구,도촌동,모두,031-000-0000,"경기도 성남시 중원구 양현로405번길 5, 1층 114호(여수동)",2021-01-16
6580,새미나설비,기타(도소매),중원구,은행1동,모두,031-734-7110,성남시 중원구 자혜로 75-1(은행동),2021-01-16
6581,새미이벤트,기타(도소매),수정구,태평3동,모두,031-604-3912,경기도 성남시 수정구 탄리로125번길 2 (태평동),2021-01-16
6582,새벽어시장,음식점,분당구,백현동,모두,031-8016-8555,"성남시 분당구 동판교로52번길 8, 1층(백현동)",2021-01-16
6583,새벽정신어학원,학원,분당구,수내3동,지류,031-715-0570,"성남시 분당구 돌마로 364, 5층 일부(수내동, 현대제일상가)",2021-01-16
6584,새봄약국,약국,분당구,정자동,지류,031-713-3571,경기도 성남시 분당구 백현로 206 한솔마을4단지 상가 106호,2021-01-16
6585,새봄어린이집,학원,분당구,운중동,모바일,031-708-5004,"성남시 분당구 판교원로82번길 60, 주민복지동1층(운중동, 경남아너스빌아파트)",2021-01-16
6586,새분당건강생활,기타(도소매),분당구,금곡동,지류,031-715-7818,"성남시 분당구 돌마로 87 , 803호 골드프라자",2021-01-16
6587,새분당서울약국,약국,분당구,금곡동,지류,031-714-7975,경기도 성남시 분당구 돌마로 75 (금곡동),2021-01-16
6588,새생명옵티마약국,약국,중원구,금광1동,지류,031-744-2398,경기도 성남시 중원구 산성대로 276 새생명옵티마약국,2021-01-16
6589,새생명한의원,한의원,분당구,구미동,지류,031-726-8788,경기도 성남시 분당구 돌마로 52 302호,2021-01-16
6590,새선경어린이집,기타(도소매),중원구,상대원1동,모바일,031-749-6824,"성남시 중원구 금상로 134, 선경아파트 104-102(상대원동)",2021-01-16
6591,새성남옵티마약국,약국,중원구,금광2동,모두,031-731-0377,성남시 중원구 금빛로 99,2021-01-16
6592,새싹한약국,기타(도소매),분당구,야탑3동,모두,031-709-1845,"성남시 분당구 매화로38번길 14, 102호(야탑동)",2021-01-16
6593,새아씨방,기타(도소매),수정구,양지동,지류,031-734-8043,성남시 수정구 산성대로 501,2021-01-16
6594,새우향,음식점,수정구,위례동,모두,031-722-2434,"경기도 성남시 수정구 위례광장로 21, 101호(창곡동 가하빌딩)",2021-01-16
6595,새우향,음식점,수정구,위례동,모두,031-722-2434,"경기도 성남시 수정구 위례광장로 21, 101호(창곡동 가하빌딩)",2021-01-16
6596,새움보습학원,학원,분당구,수내3동,모두,031-711-8845,"성남시 분당구 불정로 258, 301(수내동, 우진프라자)",2021-01-16
6597,새음음악학원,학원,중원구,은행2동,지류,031-742-4268,"성남시 중원구 순환로461번길 29,  (3층)",2021-01-16
6598,새쟁이꽈배기,음식점,분당구,백현동,모바일,031-000-0000,"성남시 분당구 동판교로 61, 1층 108호(백현동, 자유퍼스트프라자2)",2021-01-16
6599,새쟁이꽈배기,음식점,분당구,운중동,모두,,성남시 분당구 운중로 128 1층 109호,2021-01-16
6600,새중원약국,약국,중원구,상대원1동,모두,031-745-0355,"성남시 중원구 금상로 134, 101(상대원동,선경상가)",2021-01-16
6601,새코끼리약국,약국,중원구,은행2동,모두,031-731-8717,"경기도 성남시 중원구 은이로5번길 1, 1층(은행동)",2021-01-16
6602,새한디플러스,기타(도소매),중원구,하대원동,지류,031-758-0377,경기도 성남시 중원구 둔촌대로363번길 13 B01,2021-01-16
6603,새한베스트의원,병원,수정구,신흥2동,지류,031-734-1382,경기도 성남시 수정구 공원로 322 신동아파라디움 상가 2층 205호,2021-01-16
6604,새힘(SR)약국,약국,수정구,수진1동,모두,031-607-1300,경기도 성남시 수정구 수정로 106 SR프라자 1층 115호,2021-01-16
6605,색동보습학원,학원,수정구,태평4동,모두,031-742-2539,"성남시 수정구 수정로 219-1, 동우빌딩 3층",2021-01-16
